nome;prop;munic1;uf1;munic2;uf2;rio;potkw;atualiz;inicop;potfis;idemp;lat;long;estag
Capão Preto;Chimay Empreendimentos e Participações Ltda;Descalvado;SP;São Carlos;SP;Rio do Quilombo;4293,00000000;30/10/2023;31/05/2008;4293,00000000;27107;-21,88173889;-47,80202778;Operação
Gavião Peixoto;Chimay Empreendimentos e Participações Ltda;Gavião Peixoto;SP;Boa Esperança do Sul;SP;Rio Jacaré-Açú;4860,00000000;30/10/2023;01/01/1913;4860,00000000;1025;-21,84694444;-48,48944444;Operação
Itaquerê;Usina Santa Fé S.A.;Nova Europa;SP;Tabatinga;SP;Rio Itaquerê;409,60000000;30/10/2023;01/01/1929;409,60000000;29662;-21,81215726;-48,63715686;Operação
Salto Grande;Comercial Lupo S.A.;Araraquara;SP;;;Ribeirão das Cruzes;684,00000000;30/10/2023;10/12/1951;684,00000000;31230;-21,80376896;-48,21949629;Operação
São Valentim;Cobuccio Energia Ltda.;Santa Rita do Passa Quatro;SP;;;Rio Claro;1450,00000000;30/10/2023;05/12/2009;1450,00000000;2707;-21,74449342;-47,41134942;Operação
Santa Alice;CPFL Centrais Geradoras Ltda.;São José do Rio Pardo;SP;;;Rio Fartura;624,00000000;30/10/2023;31/12/1907;624,00000000;2693;-21,60058735;-46,90156449;Cancelado
Águas Claras;Usina Hidrelétrica Águas Claras Ltda.;São Simão;SP;Santa Rosa de Viterbo;SP;Ribeirão Águas Claras;1000,00000000;30/10/2023;20/12/2008;1000,00000000;29695;-21,43888889;-47,41416667;Cancelado
São Sebastião;CPFL Centrais Geradoras Ltda.;Arceburgo;MG;Mococa;SP;Rio Canoas;680,00000000;30/10/2023;31/12/1925;680,00000000;28023;-21,42190571;-46,91722880;Operação
Jph Participações;JPH Empreendimentos e Participações Ltda.;Cajuru;SP;;;Rio Cubatão;800,00000000;30/10/2023;30/11/2017;800,00000000;40535;-21,33307340;-47,29832738;Operação
Cajuru;Lucia de Sampaio Moreira Freitas;Cajuru;SP;;;Rio Cubatão;606,40000000;30/10/2023;01/02/1924;606,40000000;28719;-21,33254154;-47,29813237;Operação
Santa Terezinha (Cubatão);Cunali Energia Ltda.;Cássia dos Coqueiros;SP;;;Rio Cubatão;493,00000000;30/10/2023;01/06/2008;493,00000000;30188;-21,31583333;-47,19916667;Operação
Central Macaúbas;Décio Sandoval de Moraes;Batatais;SP;;;Ribeirão dos Batatais;115,00000000;30/10/2023;01/02/1938;115,00000000;31971;-20,78500000;-47,53305556;Operação
Palmeiras;Carlos Olyntho Junqueira Franco;Jaborandi;SP;Terra Roxa;SP;Ribeirão das Palmeiras;230,00000000;30/10/2023;26/03/1931;230,00000000;29983;-20,74416667;-48,41250000;Operação
Buritis;Chimay Empreendimentos e Participações Ltda.;Buritizal;SP;;;Ribeirão da Bandeira;800,00000000;30/10/2023;15/01/1922;800,00000000;336;-20,21472222;-47,70555556;Operação
